,k,method,mean_runtime,std_runtime,mean_ssim,std_ssim,mean_psnr,std_psnr,image
100,3,Exact SVD,0.027720546722412108,0.009955410668419332,0.5015349424943399,0.0,18.686646306622965,0.0,Page
101,3,Randomized SVD,0.016165399551391603,0.002554378205701251,0.5015351473808886,4.2516828921507683e-07,18.686646306245414,6.594227535693684e-10,Page
102,5,Exact SVD,0.02596144676208496,0.01002107951984879,0.5901899244195845,0.0,19.64040545809819,0.0,Page
103,5,Randomized SVD,0.016552495956420898,0.0027703264000986383,0.5901898547123633,7.9001250742857e-08,19.64040545803386,3.801966291398588e-11,Page
104,8,Exact SVD,0.02574925422668457,0.00978139165952315,0.651860766703108,0.0,20.976710157756436,0.0,Page
105,8,Randomized SVD,0.017082405090332032,0.0027885617472146887,0.6518608861935851,7.619397548674353e-08,20.976710156278237,6.316068553425549e-10,Page
106,10,Exact SVD,0.025658035278320314,0.006665927305948007,0.6771506702998827,0.0,21.568075273142103,0.0,Page
107,10,Randomized SVD,0.015768146514892577,0.004810330346403068,0.6771573373388395,5.91615669357743e-06,21.56807461023763,2.614926425403709e-07,Page
108,13,Exact SVD,0.025608301162719727,0.006666277530385877,0.7011530339254876,0.0,22.348590070590543,0.0,Page
109,13,Randomized SVD,0.017277908325195313,0.0046547734252816095,0.7011562389401775,5.602755503588151e-06,22.348580961469576,7.87900990762604e-06,Page
110,15,Exact SVD,0.025070333480834962,0.009096480462842095,0.7167921395743976,0.0,22.823747257872633,0.0,Page
111,15,Randomized SVD,0.009326982498168945,0.006314648203037108,0.716792804141823,2.9107307098371365e-05,22.82370647840444,3.015969501854949e-05,Page
112,1,Exact SVD,0.02189044952392578,0.006996506103141587,0.4253007300070844,0.0,19.54386004146241,0.0,Text
113,1,Randomized SVD,0.011220264434814452,0.00584835526854543,0.42530073000711816,1.0494661720040315e-14,19.54386004146241,1.5888218580782547e-15,Text
114,3,Exact SVD,0.02246103286743164,0.008873440578317765,0.4419426619443628,5.551115123125783e-17,20.23819783363424,0.0,Text
115,3,Randomized SVD,0.010871982574462891,0.007506608115049729,0.4419462236461305,3.3878217211153285e-06,20.238197709200527,1.11498485281822e-07,Text
116,5,Exact SVD,0.022056198120117186,0.008263196217210238,0.459919110332244,0.0,20.8805671092351,0.0,Text
117,5,Randomized SVD,0.012910938262939453,0.005523145602147006,0.4599245197760549,7.534047165467196e-06,20.880566541361475,8.662711537845476e-08,Text
118,8,Exact SVD,0.024200439453125,0.012016762008236407,0.4920002496448661,0.0,21.759331365036285,0.0,Text
119,8,Randomized SVD,0.010782146453857422,0.008800712062136494,0.4920074672821255,1.995602308187751e-05,21.759326832841616,3.392691301066718e-06,Text
120,10,Exact SVD,0.023175525665283202,0.0077251718721421505,0.515752875660373,0.0,22.291233425213836,0.0,Text
121,10,Randomized SVD,0.01487140655517578,0.005978021504320678,0.5157465558368571,3.261753354978804e-05,22.291201990951695,4.151113070054255e-05,Text
122,13,Exact SVD,0.02317194938659668,0.010388838088033085,0.5427887561682585,0.0,23.071461177900076,0.0,Text
123,13,Randomized SVD,0.009169197082519532,0.008010179259895415,0.5427867078402112,1.8679983234983756e-05,23.071443937032342,1.1185858554454263e-05,Text
124,15,Exact SVD,0.02370295524597168,0.00797942126477575,0.5669436090652502,0.0,23.619046822778294,0.0,Text
125,15,Randomized SVD,0.007897138595581055,0.0031839844890330033,0.5669426915136879,3.2582948356649096e-06,23.619044007302403,1.6265426744612556e-06,Text
126,1,Exact SVD,0.07986688613891602,0.007709952588893431,0.7508327993047578,0.0,22.759709172552462,0.0,Rocket
127,1,Randomized SVD,0.01868433952331543,0.006995469293933752,0.7508327993047489,3.374785818259932e-15,22.75970917255246,3.552713678800501e-15,Rocket
128,3,Exact SVD,0.07532916069030762,0.00026446459205498827,0.7729513411191813,0.0,25.634762260597192,0.0,Rocket
129,3,Randomized SVD,0.01971149444580078,0.010337068844927041,0.7729513411192201,2.511275007085285e-13,25.634762260597192,0.0,Rocket
130,5,Exact SVD,0.07507143020629883,0.00130140841656935,0.794091142473658,0.0,26.936568246361162,0.0,Rocket
131,5,Randomized SVD,0.017892789840698243,0.007526260952110746,0.7940911425900918,2.2554656580593312e-10,26.936568246360746,4.690819959520757e-13,Rocket
132,8,Exact SVD,0.07497677803039551,0.00041324710951478,0.8084929115420463,0.0,27.910570573999202,0.0,Rocket
133,8,Randomized SVD,0.023182058334350587,0.008073704287396621,0.8084929439972199,3.7240439703122406e-08,27.91057057075139,4.290996116302784e-09,Rocket
134,10,Exact SVD,0.07500548362731933,0.0013108477186401263,0.8169269895944172,0.0,28.422333570616324,0.0,Rocket
135,10,Randomized SVD,0.023895645141601564,0.007444630617664243,0.8169269264164605,9.996042125572927e-08,28.422333557295985,1.0827301052935086e-08,Rocket
136,13,Exact SVD,0.07535691261291504,0.0005744401533778611,0.8276995156276717,0.0,28.993242738313562,0.0,Rocket
137,13,Randomized SVD,0.022738313674926756,0.008531724722456639,0.8276972068798643,2.3672702967377733e-06,28.993241592409174,1.1840085641721975e-06,Rocket
138,15,Exact SVD,0.07489633560180664,0.0011810250041133178,0.8331963363820154,1.1102230246251565e-16,29.319955894639712,3.552713678800501e-15,Rocket
139,15,Randomized SVD,0.03192720413208008,0.010683302314479262,0.8331982426432518,1.0567327723576074e-05,29.31994951027669,4.145393951644289e-06,Rocket
